Sector,Crop Science,,Pharmaceuticals,,Consumer Health,,All Other Segments,,"Enabling Functions 
and Consolidation2",,Group,,,,
Euro million,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,,,
Net sales (external),"20,207","25,169","18,349","19,252","5,293","6,080",203,217,29,21,"44,081","50,739",,,
Currency-and portfolio-adjusted change1,+ 11.1%,+ 15.6%,+ 7.4%,+ 1.1%,+ 6.5%,+ 8.4%,– 11.6%,+ 2.9%,–,–,+ 8.9%,+ 8.7%,,,
Intersegment sales,12,9,22,11,0,0,0,2,(34),(22),–,–,,,
Net sales (total),"20,219","25,178","18,371","19,263","5,293","6,080",203,219,(5),(1),"44,081","50,739",,,
EBIT1,(495),"2,950","4,469","4,985",808,957,(27),79,"(1,402)","(1,959)","3,353","7,012",,,
EBITDA before special items1,"4,698","6,867","5,779","5,873","1,190","1,367",95,151,(583),(745),"11,179","13,513",,,
EBITDA margin before special items1,23.2%,27.3%,31.5%,30.5%,22.5%,22.5%,–,–,–,–,25.4%,26.6%,,,
ROCE1,– 0.9%,5.4%,18.6%,19.2%,6.4%,7.5%,–,–,–,–,3.8%,7.7%,,,
Net cash provided by operating activities,"1,272","3,394","3,493","3,588","1,030","1,046",144,105,(850),"(1,040)","5,089","7,093",,,
Capital expenditures (newly capitalized),"1,240","1,786","1,308","1,317",207,200,93,43,156,293,"3,004","3,639",,,
"Depreciation, amortization and impairments","1,435","4,596","1,001","1,227",336,364,70,71,214,245,"3,056","6,503",,,
of which impairment losses/impairment loss reversals,(822),"2,186",130,346,5,2,1,(1),2,21,(684),"2,554",,,
Clean depreciation and amortization1,"2,278","2,456",986,"1,137",336,364,70,72,214,227,"3,884","4,256",,,
Research and development expenses,"2,029","2,876","3,139","3,397",199,221,4,4,41,74,"5,412","6,572",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
